routeID,timestamp,stopName,routeShortName,serviceDay,scheduledArrival,arrivalDelay,distanceFromStart,stopsTotal
VHJpcDpIU0w6MjMyMV8yMDIyMDIxMV9TdV8yXzIyNTY=,1644787955.417551,H1914,321,1644703200,84540,217,41,44
VHJpcDpIU0w6MjUxMF8yMDIyMDIxMV9TdV8xXzIzMTU=,1644788017.1077747,H1379,510,1644703200,84780,35,13,27
VHJpcDpIU0w6MTAzMF8yMDIyMDIxMV9TdV8yXzIyNDk=,1644788032.5508294,H1210,30,1644703200,84600,282,35,40
VHJpcDpIU0w6MTAyMl8yMDIyMDIxMV9TdV8xXzIzMjM=,1644788171.4683914,H1025,22,1644703200,84960,-48,9,18
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8xXzIzMzM=,1644788248.5969596,H1911,40,1644703200,85020,24,1,24
VHJpcDpIU0w6NDQxNV8yMDIyMDIxMV9TdV8yXzIzMDU=,1644788356.5208228,H1914,415,1644703200,85200,-26,43,46
VHJpcDpIU0w6NDQyMV8yMDIyMDIxMV9TdV8xXzIzMzY=,1644788371.9158337,H1911,421,1644703200,85140,34,1,35
VHJpcDpIU0w6MTAyMF8yMDIyMDIxMV9TdV8yXzIzMTQ=,1644788403.0232246,H1210,20,1644703200,85140,46,21,26
VHJpcDpIU0w6MTA2M18yMDIyMDIxMV9TdV8xXzIzMzg=,1644788495.5420465,H1911,63,1644703200,85260,36,2,33
VHJpcDpIU0w6MjE2NU5fMjAyMjAyMTFfU3VfMl8yMzA4,1644788573.626724,E2332,165N,1644703200,85380,2,35,39
VHJpcDpIU0w6MjE0N05fMjAyMjAyMTFfU3VfMl8yMzE4,1644788619.864458,E2332,147N,1644703200,85200,240,26,30
VHJpcDpIU0w6MTUwMF8yMDIyMDIxMV9TdV8xXzIzMTc=,1644788727.803468,H1379,500,1644703200,85380,139,19,27
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8yXzIzMjA=,1644788758.6652768,H1914,40,1644703200,85380,171,20,23
VHJpcDpIU0w6MjEyNU5fMjAyMjAyMTFfU3VfMl8yMzIw,1644788804.9648392,E2332,125N,1644703200,85620,-17,36,40
VHJpcDpIU0w6MjE0Nk5fMjAyMjAyMTFfU3VfMV8yMzQ3,1644788866.6039639,H1234,146N,1644703200,85680,0,1,31
VHJpcDpIU0w6MjE0Nk5fMjAyMjAyMTFfU3VfMV8yMzQ3,1644788943.659086,H1234,146N,1644703200,85680,61,1,31
VHJpcDpIU0w6MTAzMF8yMDIyMDIxMV9TdV8yXzIzMTA=,1644788989.9076343,H1210,30,1644703200,85800,-27,35,40
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8xXzIzNDY=,1644789005.3101878,H1911,40,1644703200,85800,34,1,24
VHJpcDpIU0w6MjQzNl8yMDIyMDIxMV9TdV8xXzIzNDg=,1644789067.0500693,H1911,436,1644703200,85860,32,1,45
VHJpcDpIU0w6MjIwMF8yMDIyMDIxMV9TdV8yXzIzMTE=,1644789082.4358122,H1914,200,1644703200,85740,163,30,33
VHJpcDpIU0w6MjExM05fMjAyMjAyMTFfU3VfMl8yMzMw,1644789082.436297,E2332,113N,1644703200,85920,-27,28,32
VHJpcDpIU0w6MjM0NU5fMjAyMjAyMTFfU3VfMl8yMzA3,1644789097.854189,H1914,345N,1644703200,85740,165,50,53
VHJpcDpIU0w6MjUxMF8yMDIyMDIxMV9TdV8xXzIzMzU=,1644789298.1752162,H1379,510,1644703200,85920,160,13,27
VHJpcDpIU0w6MjE0N05fMjAyMjAyMTFfU3VfMV8yMzU2,1644789406.1243129,H1234,147N,1644703200,86220,0,1,31
VHJpcDpIU0w6MjE0N05fMjAyMjAyMTFfU3VfMV8yMzU2,1644789498.6472843,H1234,147N,1644703200,86220,76,1,31
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8yXzIzMzQ=,1644789637.3442502,H1914,40,1644703200,86220,196,20,23
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8xXzIzNTg=,1644789683.5399764,H1911,40,1644703200,86460,44,1,24
VHJpcDpIU0w6MTAyMF8yMDIyMDIxMV9TdV8yXzIzMzU=,1644789683.5400345,H1210,20,1644703200,86340,151,21,26
VHJpcDpIU0w6MjExOE5fMjAyMjAyMTFfU3VfMl8yMzIw,1644789698.960483,E2332,118N,1644703200,86100,424,42,46
VHJpcDpIU0w6MTUwMF8yMDIyMDIxMV9TdV8xXzIzMzc=,1644789729.7912302,H1379,500,1644703200,86520,6,19,27
VHJpcDpIU0w6NDQxNU5fMjAyMjAyMTFfU3VfMV8yNDAw,1644789822.3121796,H1911,415N,1644703200,86580,49,1,56
VHJpcDpIU0w6MjEzNE5fMjAyMjAyMTFfU3VfMl8yMzM3,1644789914.775073,E2332,134N,1644703200,86700,18,32,36
VHJpcDpIU0w6MjEyNU5fMjAyMjAyMTFfU3VfMV8yNDA1,1644789960.9198403,H1234,125N,1644703200,86760,0,1,39
VHJpcDpIU0w6MjE2NU5fMjAyMjAyMTFfU3VfMV8yNDA1,1644790022.7378933,H1234,165N,1644703200,86760,42,1,41
VHJpcDpIU0w6MjEyNU5fMjAyMjAyMTFfU3VfMV8yNDA1,1644790053.5357537,H1234,125N,1644703200,86760,59,1,39
VHJpcDpIU0w6MjExMk5fMjAyMjAyMTFfU3VfMV8yNDAw,1644790053.5359168,H1025,112N,1644703200,86760,87,5,44
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8yXzIzNDg=,1644790130.606974,H1914,40,1644703200,87060,-63,20,23
VHJpcDpIU0w6MjExM05fMjAyMjAyMTFfU3VfMV8yNDEw,1644790254.3653855,H1234,113N,1644703200,87060,0,1,30
VHJpcDpIU0w6MjE0Nk5fMjAyMjAyMTFfU3VfMl8yMzQ4,1644790300.6631567,E2332,146N,1644703200,87000,109,27,31
VHJpcDpIU0w6NDQyMV8yMDIyMDIxMV9TdV8yXzIzNTA=,1644790316.0718474,H1914,421,1644703200,87180,-61,31,34
VHJpcDpIU0w6MjExM05fMjAyMjAyMTFfU3VfMV8yNDEw,1644790331.478546,H1234,113N,1644703200,87060,62,1,30
VHJpcDpIU0w6NDMzMl8yMDIyMDIxMV9TdV8yXzIzMzY=,1644790408.4811714,H1914,332,1644703200,86880,321,38,41
