routeID,timestamp,stopName,routeShortName,serviceDay,scheduledArrival,arrivalDelay,distanceFromStart,stopsTotal
VHJpcDpIU0w6MTAyMF8yMDIyMDMwN19UaV8yXzA4MzE=,1646723256.259294,H1210,20,1646690400,32820,19,21,26
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8yXzA4MzQ=,1646723271.6181452,H1914,40,1646690400,32880,0,20,23
VHJpcDpIU0w6MTAyMl8yMDIyMDMwN19UaV8xXzA4NTA=,1646723271.6190758,H1025,22,1646690400,32700,159,9,18
VHJpcDpIU0w6MTA2M18yMDIyMDMwN19UaV8xXzA5MDY=,1646723394.8933184,H1911,63,1646690400,33060,-60,2,33
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8yXzA5MTA=,1646723394.8937783,H1025,21,1646690400,33000,-176,0,16
VHJpcDpIU0w6MjIwMF8yMDIyMDMwN19UaV8yXzA4MTQ=,1646723410.2987723,H1914,200,1646690400,32820,165,30,33
VHJpcDpIU0w6MjIxM18yMDIyMDMwN19UaV8yXzA4MTA=,1646723425.6992793,H1914,213,1646690400,32460,561,39,44
VHJpcDpIU0w6MTUwMF8yMDIyMDMwN19UaV8xXzA4MzQ=,1646723425.6995983,H1379,500,1646690400,33000,-20,19,27
VHJpcDpIU0w6MTAyNV8yMDIyMDMwN19UaV8yXzA4NDQ=,1646723471.8449085,H1231,25,1646690400,32880,190,19,22
VHJpcDpIU0w6NDQxMV8yMDIyMDMwN19UaV8xXzA5MDg=,1646723533.4042814,H1911,411,1646690400,33120,25,1,29
VHJpcDpIU0w6MjEwNF8yMDIyMDMwN19UaV8yXzA5MDA=,1646723533.4051416,E2332,104,1646690400,33000,133,11,15
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8xXzA5MTA=,1646723564.1644776,H1234,21,1646690400,33120,35,1,15
VHJpcDpIU0w6NDMzMl8yMDIyMDMwN19UaV8yXzA4MjI=,1646723595.2995005,H1914,332,1646690400,32940,248,38,41
VHJpcDpIU0w6MTAyNF8yMDIyMDMwN19UaV8yXzA4NTk=,1646723595.300359,H1231,24,1646690400,33240,-41,14,17
VHJpcDpIU0w6NDQxMV8yMDIyMDMwN19UaV8yXzA4MzA=,1646723626.0737495,H1914,411,1646690400,32640,559,27,30
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8xXzA5MTA=,1646723641.4365404,H1911,40,1646690400,33240,21,1,24
VHJpcDpIU0w6MTAyMkJfMjAyMjAzMDdfVGlfMV8wOTE1,1646723687.7541647,H1025,22B,1646690400,33300,-37,0,9
VHJpcDpIU0w6MjE0M0FfMjAyMjAzMDdfVGlfMl8wODUz,1646723734.1547856,E2332,143A,1646690400,33180,155,17,21
VHJpcDpIU0w6MjMyMV8yMDIyMDMwN19UaV8yXzA4MTY=,1646723749.5683837,H1914,321,1646690400,32580,766,41,44
VHJpcDpIU0w6MTAzMF8yMDIyMDMwN19UaV8yXzA4MTY=,1646723749.5690105,H1210,30,1646690400,33120,197,35,40
VHJpcDpIU0w6MjE2NEFfMjAyMjAzMDdfVGlfMl8wODQ3,1646723749.5693512,E2332,164A,1646690400,33180,170,21,25
VHJpcDpIU0w6NDQzMV8yMDIyMDMwN19UaV8yXzA4MzA=,1646723764.9314275,H1914,431,1646690400,33000,349,33,36
VHJpcDpIU0w6MTA2M18yMDIyMDMwN19UaV8yXzA4MzU=,1646723796.529427,H1914,63,1646690400,32940,447,29,34
VHJpcDpIU0w6MjE0N0FfMjAyMjAzMDdfVGlfMl8wODU0,1646723796.5303202,E2332,147A,1646690400,33540,-137,21,25
VHJpcDpIU0w6MjIwMF8yMDIyMDMwN19UaV8yXzA4MzQ=,1646723811.965665,H1914,200,1646690400,33960,493,30,33
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8yXzA4NDI=,1646723858.6118312,H1914,40,1646690400,33360,84,20,23
VHJpcDpIU0w6MjUxMF8yMDIyMDMwN19UaV8xXzA4NTA=,1646723905.0283763,H1379,510,1646690400,33240,244,13,27
VHJpcDpIU0w6NDQxNV8yMDIyMDMwN19UaV8xXzA5MTU=,1646723920.4171102,H1911,415,1646690400,33540,-46,1,47
VHJpcDpIU0w6MTAzMF8yMDIyMDMwN19UaV8yXzA4MDU=,1646723920.4171853,H1210,30,1646690400,32520,974,35,40
VHJpcDpIU0w6MjUxMF8yMDIyMDMwN19UaV8xXzA4NTA=,1646723935.8261197,H1379,510,1646690400,33240,276,13,27
VHJpcDpIU0w6MTAyMF8yMDIyMDMwN19UaV8yXzA4NDI=,1646723951.2270374,H1210,20,1646690400,33480,20,21,26
VHJpcDpIU0w6MTUwMF8yMDIyMDMwN19UaV8xXzA4NDI=,1646723997.4843662,H1379,500,1646690400,33480,97,19,27
